蒼山入百里，▁崖▁斷如杵臼。	ngaai4
曾宮憑風迴，岌嶪土囊▁口▁。	hau5
立神扶棟梁，鑿翠開戶▁牖▁。	jau5
其陽產靈芝，其陰宿▁牛▁斗。	ngau4
紛披長松倒，揭𡿗怪▁石▁走。	sek6
哀猿啼一聲，客淚逬林▁藪▁。	sau2
荒哉隋家帝，製此今頹▁朽▁。	nau2
向使國不亡，焉爲巨唐▁有▁。	jau5
雖無新增修，尙置官居▁守▁。	sau2
巡非瑤水遠，迹是雕牆▁後▁。	hau5
我行屬時危，仰望嗟歎▁久▁。	gau2
天王守太白，駐馬更搔▁首▁。	sau2
南風作▁秋▁聲，殺氣薄炎熾。	cau1
盛夏▁鷹▁隼擊，時危異人至。	jing1
令弟草中來，蒼然請▁論▁事。	leon6
詔書引上殿，奮▁舌▁動天意。	sit3
兵法五十家，爾▁腹▁爲篋笥。	fuk1
應對如轉丸，疏▁通▁略文字。	tong1
經綸皆新語，足以正▁神▁器。	san4
宗廟尙爲灰，君臣俱下▁淚▁。	leoi6
崆峒地無軸，青海天▁軒▁輊。	hin1
西極最瘡痍，連山暗烽▁燧▁。	seoi6
帝曰大布衣，藉卿佐▁元▁帥。	jyun4
坐看清流沙，所以子奉▁使▁。	si3
歸當再前席，適遠作歷▁試▁。	lik6
須存武威郡，爲畫長久▁利▁。	lei6
孤峯石戴驛，快馬金纏▁轡▁。	bei3
黃羊飫不羶，蘆酒多還▁醉▁。	zeoi3
踴躍常人情，慘澹苦士▁志▁。	zi3
安邊敵何有？反正計始▁遂▁。	seoi6
吾聞駕鼓車，不合用騏▁驥▁。	kei4
龍吟回其頭，夾輔待所▁致▁。	zi3
其一▁崢▁嶸赤雲西，日腳下平地。	zang1
柴門鳥雀噪，歸客千里▁至▁。	zi3
妻孥怪我在，驚定還▁拭▁淚。	sik1
世亂遭飄蕩，▁生▁還偶然遂。	sang1
鄰人滿牆頭，感歎亦▁歔▁欷。	heoi1
夜闌更秉燭，相對如夢▁寐▁。	mei6
其二 晚歲迫偸生，還家少▁歡▁趣。	fun1
嬌兒不離膝，畏我復卻▁去▁。	heoi3
憶昔好追涼，故繞池邊▁樹▁。	syu6
蕭蕭北風勁，撫事煎▁百▁慮。	baak3
賴知禾黍收，已覺糟牀▁注▁。	zyu3
如今足斟酌，且用慰▁遲▁暮。	ci4
其三羣雞正亂叫，客至▁雞▁鬥爭。	gai1
驅雞上樹木，始聞叩柴▁荆▁。	ging1
父老四五人，問▁我▁久遠行。	ngo5
手中各有攜，傾榼濁復▁清▁。	cing1
苦辭酒味薄，黍地無人▁耕▁。	gaang1
兵革旣未息，兒童盡東▁征▁。	zing1
請爲父老歌，艱難愧深▁情▁。	cing4
歌罷仰天歎，四座淚縱▁橫▁。	waang4
▁老▁夫清晨梳白頭，玄都道士來相訪	lou5
握髮呼兒延入戶，手提新畫青▁松▁障	cing1
障子松林靜杳冥，憑▁軒▁忽若無丹青	hin1
陰崖卻承霜雪幹，偃蓋反走▁虯▁龍形	kau4
老夫生平好奇古，對此興與▁精▁靈聚	zing1
已知仙客意相親，更覺良工心獨▁苦▁	fu2
松下丈人巾屨同，偶坐似是商山▁翁▁	jung1
悵望聊歌紫芝曲，時危慘淡來悲▁風▁	fung1
我▁今▁日夜憂，諸弟各異方	gam1
不知死與生，何況道路▁長▁	coeng4
避寇一分散，飢寒永相▁望▁	mong4
豈無柴門歸，欲出畏▁虎▁狼	fu2
仰看雲中雁，禽鳥亦有▁行▁	hong4
其二蓬生非無根，漂蕩隨高▁風▁	fung1
天寒落萬里，不復歸本▁叢▁	cung4
客子念故宅，三年門巷▁空▁	hung1
悵望但烽火，戎車滿關▁東▁	dung1
生涯能幾何，常在羈旅▁中▁	zung1
其三昔在洛陽時，親友相追▁攀▁	paan1
送客東郊道，遨遊宿南▁山▁	saan1
煙塵阻長河，樹羽成皋▁間▁	gaan1
回首載酒地，豈無一日▁還▁	waan4
丈夫貴壯健，慘戚非朱▁顏▁	ngaan4
夏日出▁東▁北，陵天經中街	dung1
朱光徹厚地，鬱蒸▁何▁由開	ho4
上蒼久無雷，無乃號令▁乖▁	gwaai1
雨降不濡物，良田起黃▁埃▁	oi1
飛鳥苦熱死，池魚涸其▁泥▁	nai4
萬人尙流冗，舉目唯▁蒿▁萊	hou1
至今大河北，化作▁虎▁與豺	fu2
浩蕩想幽薊，王師安▁在▁哉	zoi6
對食不能餐，我心殊未▁諧▁	haai4
眇然貞觀初，難與數子▁偕▁	gaai1
身危適▁他▁州，勉強終勞苦	taa1
神傷山行深，愁破崖寺▁古▁	gu2
嬋娟碧鮮淨，蕭摵寒籜▁聚▁	zeoi6
回回山根水，冉冉松上▁雨▁	jyu5
洩雲蒙清晨，初日翳▁復▁吐	fau6
朱甍半光炯，戶牖粲▁可▁數	ho2
拄策忘前期，出蘿已亭▁午▁	ng5
冥冥子規叫，微徑不復▁取▁	ceoi2
熊羆哮▁我▁東，虎豹號我西	ngo5
我後鬼長嘯，我前▁狨▁又啼	jung4
天寒昏無日，山遠道路▁迷▁	mai4
驅車石龕下，仲冬見虹▁霓▁	ngai4
伐竹者誰子，悲歌上▁雲▁梯	wan4
爲官采美箭，五歲供梁▁齊▁	cai4
苦云直簳盡，無以充▁提▁攜	tai4
