原來趙雲啊，佢正喺度飲緊酒，忽然▁見▁到人馬出動就急急入去裏頭睇下啦。	gin3	V
涇縣嘅▁城▁頭又係好矮嘅。	sing4	N
但係佢仲有啲猶猶疑疑就未▁曾▁最後決定。	cang4	D
馬騰、韓遂大獲全勝，就直逼到隘口，▁扎▁落營寨，然後將李蒙斬首號令。	zaat3	V
王粲▁嘅▁容貌瘦弱，身材矮細。	ge3	N
朕若果饒恕你哋呀，朕到咗九泉之▁下▁，仲有咩面目見關公呀？	haa6	N
張遼話喇：哼哼，實係吳兵嚟做外▁應▁喇，我哋將計就計破佢！	jing1	N
噉曹操走甩咗，喺路上就遇到佢個部▁下▁軍官將領，收集返啲殘兵敗卒。	haa6	N
等到孫策扯喇，行出間玉清▁觀▁嘅時候，又見于吉迎面行入門口。	gun1	N
於係劉備就宣布討伐東吳嘅部署，▁佢▁命令：	keoi5	I
董承睇完，唉呀，涕淚交流，▁成▁晚都瞓唔着啊！	sing4	N
而家，呂布就要失敗㗎▁喇▁，一有機會你就辦妥佢啦。	laa3	T
如果我哋而家將江夏、長沙、桂陽呢三個郡還畀東吳，再派一個口才好嘅人，去同佢哋講明利▁害▁，使到東吳起兵去襲擊合肥，一牽制住佢，曹操就必定要帶兵返去南方㗎喇。	hoi6	N
龐德咪▁死▁追啦。	sei2	V
誒長史、掾史啊，都係丞▁相▁嘅主要助理官員咯。	soeng3	N
曹操▁冇▁出聲。	mou5	D
喺呢處呢就唔怕▁囉▁嗦講多幾句吓。	lo1	V
但係田疇流起眼淚上▁嚟▁話：	lai4	I
劉備問啲兵士，你哋趙將軍點▁樣▁打㗎噉。	joeng2	V
唉好似噉樣推嚟推去，未▁免▁會累及老兄你㗎嘞噃。	min5	D
所以老百姓見到荊州軍嚟到呀，都係▁扶▁老攜幼拖男帶女，企滿晒喺路邊歡迎，焚香禮拜。	fu4	D
曹操騎馬喺高頂望見孫權被困唄，哈得法喇，急忙命令許褚衝▁殺▁入去，將孫權嘅隊伍衝開兩橛，使到佢哋頭尾不能呼應。	saat3	V
趙雲叫人將佢哋兩個紮起嚟，然後▁捉▁佢哋手下啲人嚟審問，果然係詐降。	zuk1	V
只係叫一名末將淳于丹出嚟▁話▁：我畀四千兵你，派你去攻佔江南岸第四營。	waa6	N
若果唔接受我哋嘅文件，我一▁反▁起面嚟就連佢八十一州都搶埋㗎。	faan2	V
詐作打輸畀佢，一路引佢追到去第處，用精兵截▁斷▁佢嘅歸路，喺呢個時候去說佢就啱喇。	tyun5	V
一問，咁多將領都到齊▁嘞▁，獨獨唔見咗文聘。	laa3	T
請許公你返去，代我▁稟▁覆丞相。	ban2	V
劉備就問孔明有咩好▁計▁呀噉。	gai2	N
