伯公▁神▁壇	san4
▁荷▁塘月色	ho4
山頂纜▁車▁	ce1
十▁六▁進制	luk6
▁錔▁返差館	taap3
錔▁返▁差館	faan1
▁返▁屋企	faan1
記得用條鏈錔住架▁單▁車呀！	daan1
堅守陣▁地▁	dei6
▁鈎▁起	ngau1
鈎住▁條▁欄杆。	tiu4
▁蛋▁殼	daan2
▁搣▁殼	mit1
借殼▁上▁市	soeng5
通用▁教▁材	gaau3
太▁空▁穿梭機	hung1
提高知▁名▁度	ming4
太陽輻▁射▁	se6
船▁舶▁天氣預報	bok6/paak3
架空小▁説▁	syut3
養▁成▁健康習慣	sing4
慘遭滑鐵▁盧▁	lou4
賀一▁賀▁佢	ho6
睇一▁睇▁就走	tai2
化到個妝▁靚▁一靚	leng3
質到個書包▁重▁一重	cung5
一頂▁帽▁	mou2
一頂▁王▁冠	wong4
呢▁頂▁轎	deng2
跪低認▁錯▁	co3
▁正▁街	zing3
出▁疹▁	can2
出牙▁仔▁	zai2
父母嘅事唔到你▁哋▁做仔女嘅干涉。	dei6
拎▁到▁話事權	dou2
拎▁嚟▁講下笑	lai4
▁中▁杯	zung1
中等▁身▁材	san1
多▁啲▁	di1
▁死▁做	sei2
𠱁死▁人▁	jan4
死▁要▁面	jiu3
即棄木筷▁子▁	zi2
每個人都▁有▁自己嘅特點。	jau5
好多市民都▁反▁對徵收銷售税。	faan2
書信▁來▁往	loi4
書▁信▁格式	seon3
交響▁樂▁團	ngok6
貝多芬嘅交響樂經常都帶有▁好▁強烈嘅對比。	hou2
虐▁兒▁個案	ji4
我哋對佢輸咗場波▁覺▁得好驚異。	gok3
我哋對佢輸咗場波覺得好▁驚▁異。	ging1
我好▁驚▁佢。	geng1
探討▁合▁併事宜	hap6
呢個係一個值得▁探▁討嘅問題。	taam3
速▁遞▁公司	dai6
專欄作▁家▁	gaa1
李先生以前喺▁幾▁份報紙都有個專欄。	gei2
▁打▁龍門	daa2
佢博士論文係關▁於▁有機金屬化學。	jyu1
體能▁測▁驗	caak1/cak1
▁數▁手指	sou2
你嘅面部▁表▁情太過僵硬嚹。	biu2
流言▁四▁起	sei3
聽▁佢▁唱歌	keoi5/heoi5
▁聽▁收音機	teng1
呢啲乜嘢英▁文▁嚟㗎！	man2
免▁提▁耳筒	tai4
行李▁免▁提服務	min5
臭▁脾▁氣	pei4
常務委▁員▁會	jyun4
治喪▁委▁員會	wai2
我再唔返▁去▁就會俾老婆小。	heoi3
一打西▁餅▁	beng2
三▁皮▁	pei4
壯▁觀▁	gun1
叫外▁賣▁	maai6
▁文▁學作品	man4
呢份功課做唔完我就膝頭哥▁繳▁眼淚㗎喇。	giu2
里▁長▁	zoeng2
精神▁上▁嘅寄托	soeng6
隻狗仔好得意▁嘅▁啫。	ge3
你知唔▁知▁嘅啫？	zi1
醒目▁女▁	neoi2
▁鮮▁色	sin1
少林功▁夫▁	fu1
天下武功出▁少▁林	siu3
▁黑▁箱作業	hak1/haak1
合▁乎▁邏輯	fu4
你究竟搞乜鬼▁啊▁？	aa3/a3
偷睇考▁試▁卷	si3/si5
朗誦比賽參賽者嘅抑揚▁頓▁挫好誇張。	deon6
佢因為喺批核採▁購▁時私相授受而被判入獄。	kau3/gau3
自▁殺▁傾向	saat3
生▁僻▁字	pik1
入▁風▁	fung1
▁扭▁腰舞	nau2
扭▁台▁	toi4
沉迷打機都可以好似吸毒咁▁斷▁唔到癮㗎！	tyun5
今日朝早堂又試得嗰小▁貓▁三四隻。	maau1
衣▁着▁大方	zoek3
第二行第▁三▁格	saam1
一格▁廁▁紙	ci3
佢分明▁玩▁你喇！	waan2
你分明當我▁冇▁到。	mou5
棄▁驚▁	geng1
香港打▁吡▁大賽	bei2
佢細細力拍▁下▁我膊頭。	haa5
沖咖▁啡▁	fe1
沖▁奶▁	naai5
靈魂出▁竅▁	hiu3
拎出▁嚟▁	lai4/lei4
一批▁貨▁	fo3
人▁造▁淚水	zou6
古老味▁道▁	dou6
牆▁腳▁	goek3
邋▁遢▁手段	taat3
學生▁宿▁舍	suk1
警察宿▁舍▁	se3/se5
輔助宿▁舍▁	se3/se5
陰謀詭▁計▁	gai3
抰下▁張▁被	zoeng1
接▁唔▁住	m4
向前踏一▁步▁	bou6
好▁啦▁⋯⋯	laa1
跟返個▁隊▁形	deoi2/deoi6
▁維▁持秩序	wai4
過咗▁喇▁！	laa3/la3
瞻仰▁遺▁容	wai4
又係▁喎▁。	wo3
估唔到你▁會▁返嚟喎。	wui5
我哋唔應該▁將▁學校變成學店。	zoeng1
盼▁望▁	mong6
通勤時▁間▁	gaan3
落起▁雨▁嚟	jyu5
▁無▁欲則剛	mou4
剛柔並▁濟▁	zai3
▁轉▁投敵陣	zyun2
唔好▁行▁埋嚟呀！	haang4
▁碌▁手機	luk1
竪▁井▁	zeng2
▁滿▁蒙鐵路	mun5
蚊叮蟲▁咬▁	ngaau5
甜蜜嘅▁戀▁愛	lyun2
塌晒▁落▁嚟	lok6
擠上去▁櫃▁頂	gwai6
轉▁乘▁優惠	sing4
行入去▁間▁房度	gaan1
弱▁隊▁	deoi2
交▁差▁餉	caai1
東望洋▁跑▁道	paau2
▁跌▁穿七算	dit3
轉換第二個▁話▁題囉！	waa6
燦爛人▁生▁	sang1
諸子▁百▁家	baak3
一間▁舖▁頭	pou3
兩間▁戲▁院	hei3
家▁兄▁	hing1
一笪血▁跡▁	zik1
擲▁骰▁	sik1
可▁比▁性	bei2
破碎家▁庭▁	ting4
呢隻雞係公▁定▁乸？	ding6
▁估▁公字	gu2
▁食▁物金字塔	sik6
炒▁米▁粉	mai5
覺得生▁活▁好苦悶	wut6
大學▁校▁隊	haau6
工農▁紅▁軍	hung4
再嘈就送你入▁青▁山！	cing1
止血▁帶▁	daai2
體檢報▁告▁	gou3
體檢報▁吿▁	gou3
忠▁告▁	guk1
忠▁吿▁	guk1
持牌人▁及▁註冊機構	kap6
鈣▁質▁	zat1
孤魂甶孑▁靈▁位	ling4
貼啲嘢喺▁壁▁報板	bik1
快測▁結▁果	git3
去油▁跡▁	zik1
神農▁氏▁嘗百草	si6
京都汁煎▁蝦▁	haa1
▁京▁都骨	ging1
京都豬▁扒▁	paa2
▁石▁春路	sek6
下▁禁▁令	gam3
銷▁量▁回升	loeng6
促銷電▁話▁	waa2
用衫架掛起件▁褸▁	lau1
晾衫▁繩▁	sing2
亞太經合組▁織▁	zik1
經濟負▁擔▁	daam1
積極▁更▁生	gang1
負上刑▁責▁	zaak3
施▁加▁刑責	gaa1
遠超標▁準▁	zeon2
攝氏▁零▁度	ling4
▁搭▁一〇一	daap3
換▁片▁	pin2
一▁片▁麪包	pin3
一片▁沉▁默	cam4
▁訂▁飛	deng6
演唱▁會▁飛	wui2
購置▁房▁產	fong4
恣意▁妄▁為	mong5
▁生▁肉	saang1
▁俾▁同事做一鑊	bei2
▁房▁門	fong2
▁仿▁製品	fong2
仿製▁藥▁	joek6
白飯▁魚▁炒蛋	jyu2
海▁底▁	dai2
白底▁黑▁字	hak1/haak1
又乜又▁盛▁	sing6
高▁呢▁	le1
違▁和▁感	wo4
▁病▁	beng6
▁親▁密關係	can1
便服▁日▁	jat6
打▁毗▁大賽	bei2
一茶▁匙▁鹽	ci4
撞▁名▁	meng2
▁撞▁衫	zong6
紙筆墨▁硯▁	jin2
▁雕▁像	diu1
呢幅畫像▁畫▁得好似。	waak6
開正我嗰▁瓣▁	baan6/faan6
佢吸毒吸▁到▁上癮。	dou3
▁成▁世	seng4
成公▁斤▁重	gan1
讀▁興▁趣班	hing3
達標▁分▁數	fan1
數碼▁相▁機	soeng2
數碼▁化▁	faa3
模▁擬▁考試	ji4/ji5
醫▁療▁津貼	liu4
書▁簿▁津貼	bou2
值得▁三▁思	saam3
尊▁重▁民俗	zung6
孔乙己係一個不見經▁傳▁嘅小人物。	zyun2
時間控制得▁當▁	dong3
招致意外嘅損▁失▁	sat1
▁放▁洋留學	fong3
放洋負▁笈▁	kap1
行路▁過▁去	gwo3
斤兩▁不▁足	bat1
訴説心▁聲▁	sing1
推薦▁信▁	seon3
呢班同學啲英文水▁平▁好參差。	ping4
▁夾▁得埋	gaap3
▁夾▁硬嚟	gaap3
夾硬谷高個投▁票▁率	piu3
銀▁行▁存款	hong4
使得▁郁▁	juk1
▁呵▁一口氣	ho1
保▁養▁工具	joeng5
保養頭▁髮▁	faat3
為▁他▁人設想	taa1
引爆恐▁慌▁	fong1
禪▁繞▁畫	jiu2
為自己▁爭▁氣	zaang1
步行▁距▁離	keoi5
點線▁面▁	min2
▁面▁面觀	min6
特▁約▁記者	joek3
▁堆▁高	deoi1
▁黏▁膠布	nim4
呢位網球大師喺今▁次▁錦標賽中屈居第二。	ci3
講▁清▁楚	cing1
保養▁期▁	kei4
就業▁數▁據	sou3
連續奪▁冠▁	gun3
送上▁祝▁福	zuk1
送▁飯▁	faan6
▁撩▁牙	liu1
一▁齊▁買鞋	cai4
新鮮海膽▁刺▁身	ci3
冇▁命▁	meng6
遵▁守▁紀律	sau2
趕▁羊▁	joeng4
充滿▁好▁奇心	hou3
滿足唔到▁呢▁班細路嘅好奇心	ni1/nei1
唔知你聽日得唔得閒▁呢▁？	ne1
我唔▁飲▁得酒。	jam2
十▁蚊▁銀	man1
第十▁集▁	zaap6
爆開▁夾▁萬	gaap3
爆醜▁聞▁	man4
打▁爆▁機	baau3
起▁泡▁	pou5
起▁釘▁	deng1
江山如▁畫▁	waa2
有▁紮▁實嘅學問	zaat3
▁磨▁粉	mo4
花▁卉▁展覽	wai2
▁衝▁出馬路	cung1
▁掟▁飛鏢	deng3
人所▁共▁知	gung6
彈▁鋼▁琴	gong3
黑幫▁仇▁殺	sau4
正▁斗▁嘢	dau2
藍籌股大跌累街▁坊▁損失慘重。	fong1
反▁應▁敏捷	jing3
佢供緊細▁妹▁讀書。	mui2
清理油▁污▁	wu1
躍升至首▁位▁	wai6
首▁位▁成功登月嘅太空人	wai2
同癌▁魔▁作戰	mo1
西晒▁面▁	min6
擳牙▁膏▁	gou1
食▁咖▁喱	gaa3
落旺▁角▁	gok3
鎮守崗▁位▁	wai2
記憶力▁衰▁退	seoi1
當▁眾▁露械	zung3
當庭▁釋▁放	sik1
唱▁散▁銀	saan2
雙語▁能▁力	nang4
天后寶▁誕▁	daan3
▁跨▁代貧窮	kwaa1
南▁寧▁白話	ning4
唔▁抵▁得悶	dai2
打嘴▁炮▁	paau3
循序漸進實現普▁選▁	syun2
有汽▁檸▁檬茶	ning4
有汽▁橙▁汁	caang2
爺▁孫▁同堂	syun1
左偏▁廳▁	teng1
彈性▁處▁理	cyu5/cyu2
豹▁紋▁	man4
攻▁城▁	sing4
品性▁馴▁良	seon4
越▁南▁菜	naam4
日本▁料▁理	liu6
大廈公▁契▁	kai3
白卡▁佬▁	lou2
