奸	gaan1
㗞	po3
湙	jik6
獩	wai3
㳦	haai6
㓈	bing3
凙	dok6
煪	cau4
𠒺	teoi4
脼	loeng5
𤅺	jam1
泭	fu1
咴	fui1
霯	dang6
𣈥	tou1
㤦	lei6
䗉	coeng1
螔	ji4
霎	saap3
牿	guk1
㯨	suk1
氝	noi6
㻾	jung1
裕	jyu6
披	pei1
錃	bei1
麉	gin1
㦣	wai6
櫖	leoi6
䡮	zung1
䭵	faan4
筸	gon2
螴	can4
㶆	zyu1
㙱	gou2
株	zyu1
誤	ng6
動	dung6
𡿨	hyun2
獵	lip6
肞	caa1
浮	fau4
欆	soeng1
䚧	lau4
㗑	baai3
䛅	haap3
茐	cung1
宊	dat6
汝	jyu5
瀟	siu1
堳	mei4
䀪	hong4
䵀	so2
肼	zeng2
蜥	sik1
跘	pun4
髚	hiu3
鄹	zau1
厠	ci3
䦸	jyu6
臵	gaak3
柳	lau5
椄	zip3
筺	hong1
笉	wan5
蟎	mun5
𤩏	cing4
狿	jin4
喍	caai4
㵣	hot3
㡾	haan6
最	zeoi3
壆	bok3
䊩	faan4
䰛	lik6
闈	wai4
藒	kit3
椬	ji4
銾	hung6
㿇	zaap6
䁞	saang2
蝁	ok3
㼗	ting4
限	haan6
㵐	kyut3
黅	gam1
截	zit6
実	sat6
䁜	fong2
摫	kwai1
閊	saan1
㶿	but6
䧞	maa6
㻔	do2
醈	taam4
保	bou2
㛓	hei1
㩕	ling1
直	zik6
輊	zi3
拔	bat6
涽	fan1
穵	waat3
繝	gaan3
𢒋	wing5
脆	ceoi3
䣥	bei2
䨷	sin3
䎗	kiu4
勢	sai3
賉	seot1
匱	gwai6
蝗	wong4
𤦹	zing1
䛿	gaak3
𤜥	ji6
譒	bo3
唵	am2
㹯	jau1
醪	lou4
褯	zik6
䡤	zyu1
閣	gok3
錖	duk1
莦	saau1
犞	kiu4
𥝢	lei6
䱥	zai3
䃗	bok1
襩	suk1
䥓	gei1
㫇	jyu1
䱺	haai4
縂	zung2
㦬	lo5
蕩	dong6
譪	oi2
䣩	seon4
䏺	pong1
侈	ci2
眆	fong2
㒜	jyu5
曛	fan1
漓	lei4
㿞	mou6
戵	keoi4
忐	taan2
稘	gei1
植	zik6
㐹	ngat6
䈷	gaak3
餘	jyu4
蘲	leoi4
喧	hyun1
髐	haau1
蜆	hin2
䝲	zeon2
䄏	hin1
舺	gaap3
䪎	seoi1
䘦	nai4
飉	liu4
㽱	gaau2
㖽	zaak3
䝳	caan4
鴷	lit6
䭙	zam2
窻	coeng1
頶	huk6
𡟙	sing1
旡	gei3
碎	seoi3
籕	zau6
竢	zi6
證	zing3
㠹	gaai3
邞	fu1
㡮	gat6
苆	cit3
蔅	jin4
㙤	laa3
堾	ceon1
㑖	zung6
觲	sing1
銏	saan3
詪	han2
矵	cai3
醕	seon4
齣	ceot1
厫	ngou4
痯	gun2
𧘌	jing4
沑	nuk6
褾	biu2
鍫	ciu1
站	zaam6
贄	zi3
㘘	lyun2
蚋	jeoi6
鷇	kau3
侼	but6
筇	kung4
嫊	sou3
㷳	ngon6
韁	goeng1
䅝	hung1
䦇	gai3
蹍	zin2
醛	cyun4
橔	deon1
玨	gok3
倕	seoi4
䩢	zai3
崈	sung4
䭁	zai3
鱺	lei4
鬱	wat1
㮝	hat6
隿	jik6
巺	seon3
鱇	hong1
郊	gaau1
碸	fung1
䳦	syun1
㐓	ho2
款	fun2
聗	lip6
蜣	goeng1
髄	seoi5
䕓	caat3
㪇	sin3
𥪜	ting4
䣠	ze6
腽	wat1
𤾆	dau1
箳	ping4
𠻗	le4
𨚲	cyun4
犮	bat6
